2025-08-04 15:36:18 | INFO     | example_gateway | <Gateway>: Gateway [example_gateway] started on [localhost:50000]
2025-08-04 15:36:50 | INFO     | example_gateway | <Gateway>: Gateway [example_gateway] started on [localhost:50000]
2025-08-04 15:37:40 | INFO     | example_gateway | <Gateway>: Registered ToolBox [example_tool] at address [localhost:51000]
2025-08-04 15:40:56 | INFO     | example_gateway | <Gateway>: Registered Agent [example_agent] at address [localhost:52000]
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: Registered Agent [agent client] at address [localhost:53000]
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: Agent [agent client] requests node information
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: [ToolRequest agent client -> example_tool] Routing request
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: [ToolResponse example_tool -> agent client] Routing response
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: Session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117] created for [Agent agent client -> example_agent]
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: [AgentMessage agent client -> example_agent] Routing request in session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117]
2025-08-04 15:41:17 | INFO     | example_gateway | <Gateway>: [AgentMessage agent client -> example_agent] Routing request in session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117]
2025-08-04 15:41:19 | INFO     | example_gateway | <Gateway>: [AgentMessage example_agent -> agent client] Routing response in session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117]
2025-08-04 15:41:20 | INFO     | example_gateway | <Gateway>: [AgentMessage example_agent -> agent client] Routing response in session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117]
2025-08-04 15:41:20 | INFO     | example_gateway | <Gateway>: Session [agent_e06d5f5d-8d33-49ed-87f0-97d50efea2d4_20250804_154117] closed
2025-08-04 15:41:20 | INFO     | example_gateway | <Gateway>: Removed node [agent client] from registry - Connection terminated
2025-08-04 15:42:15 | INFO     | example_gateway | <Gateway>: Registered Agent [agent client] at address [localhost:53000]
2025-08-04 15:42:15 | INFO     | example_gateway | <Gateway>: Agent [agent client] requests node information
2025-08-04 15:42:50 | INFO     | example_gateway | <Gateway>: Removed node [agent client] from registry - Connection terminated
